,date,state,death,deathConfirmed,deathIncrease,hospitalizedCurrently,inIcuCurrently,positive,positiveCasesViral,positiveIncrease,totalTestsViral,policy,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
0,3/4/2020,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
1,3/5/2020,NC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
2,3/6/2020,NC,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
3,3/7/2020,NC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
4,3/8/2020,NC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
5,3/9/2020,NC,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.08,2.08,2.38,2.38,0,0
6,3/10/2020,NC,0,0,0,0,0,7,0,5,0,0,12.96,12.96,23.81,23.81,11.46,11.46,13.1,13.1,0,0
7,3/11/2020,NC,0,0,0,0,0,7,0,0,0,0,24.07,24.07,38.1,38.1,17.71,17.71,20.24,20.24,0,0
8,3/12/2020,NC,0,0,0,0,0,12,0,5,0,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25
9,3/13/2020,NC,0,0,0,0,0,15,0,3,0,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25
10,3/14/2020,NC,0,0,0,0,0,23,0,8,0,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25
11,3/15/2020,NC,0,0,0,0,0,32,0,9,0,0,24.07,24.07,38.1,38.1,20.83,20.83,20.24,20.24,25,25
12,3/16/2020,NC,0,0,0,0,0,33,0,1,0,0,39.81,39.81,53.57,53.57,29.69,29.69,30.36,30.36,25,25
13,3/17/2020,NC,0,0,0,0,0,40,0,7,936,0,43.52,43.52,57.14,57.14,33.33,33.33,32.74,32.74,37.5,37.5
14,3/18/2020,NC,0,0,0,0,0,63,0,23,1231,0,43.52,43.52,57.14,57.14,33.33,33.33,32.74,32.74,37.5,37.5
15,3/19/2020,NC,0,0,0,0,0,97,0,34,1436,0,43.52,43.52,57.14,57.14,33.33,33.33,32.74,32.74,37.5,37.5
16,3/20/2020,NC,0,0,0,0,0,137,0,40,3132,0,51.85,51.85,59.52,59.52,38.02,38.02,38.1,38.1,37.5,37.5
17,3/21/2020,NC,0,0,0,0,0,184,0,47,4075,0,51.85,51.85,59.52,59.52,38.02,38.02,38.1,38.1,37.5,37.5
18,3/22/2020,NC,0,0,0,0,0,255,0,71,6267,0,51.85,51.85,59.52,59.52,38.02,38.02,38.1,38.1,37.5,37.5
19,3/23/2020,NC,0,0,0,0,0,297,0,42,7656,0,55.56,55.56,63.1,63.1,40.1,40.1,40.48,40.48,37.5,37.5
20,3/24/2020,NC,0,0,0,0,0,398,0,101,9819,0,55.56,55.56,63.1,63.1,40.1,40.1,40.48,40.48,37.5,37.5
21,3/25/2020,NC,1,0,1,29,0,504,0,106,10348,0,60.19,60.19,65,65,42.71,42.71,43.45,43.45,37.5,37.5
22,3/26/2020,NC,2,0,1,29,0,636,0,132,12794,0,64.81,64.81,65,65,47.4,47.4,48.81,48.81,37.5,37.5
23,3/27/2020,NC,3,0,1,77,0,763,0,127,15587,0,64.81,64.81,65,65,47.4,47.4,48.81,48.81,37.5,37.5
24,3/28/2020,NC,4,0,1,87,0,935,0,172,18254,0,64.81,64.81,65,65,47.4,47.4,48.81,48.81,37.5,37.5
25,3/29/2020,NC,4,0,0,91,0,1040,0,105,21164,0,64.81,64.81,65,65,47.4,47.4,48.81,48.81,37.5,37.5
26,3/30/2020,NC,6,0,2,137,0,1307,0,267,22802,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
27,3/31/2020,NC,8,0,2,157,0,1498,0,191,24884,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
28,4/1/2020,NC,10,0,2,204,0,1584,0,86,27671,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
29,4/2/2020,NC,16,0,6,184,0,1857,0,273,31106,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
30,4/3/2020,NC,19,0,3,184,0,2093,0,236,33989,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
31,4/4/2020,NC,24,0,5,271,0,2402,0,309,37393,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
32,4/5/2020,NC,31,0,7,261,0,2585,0,183,45022,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
33,4/6/2020,NC,33,0,2,270,0,2870,0,285,46365,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
34,4/7/2020,NC,46,0,13,354,0,3221,0,351,47217,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
35,4/8/2020,NC,53,0,7,386,0,3426,0,205,48130,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
36,4/9/2020,NC,65,0,12,398,0,3651,0,225,50561,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
37,4/10/2020,NC,74,0,9,423,0,3908,0,257,55823,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
38,4/11/2020,NC,80,0,6,362,0,4312,0,404,66034,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
39,4/12/2020,NC,81,0,1,331,0,4520,0,208,68909,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
40,4/13/2020,NC,86,0,5,313,0,4816,0,296,76908,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
41,4/14/2020,NC,108,0,22,418,0,5024,0,208,78206,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
42,4/15/2020,NC,117,0,9,431,0,5123,0,99,80174,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
43,4/16/2020,NC,131,0,14,452,0,5465,0,342,83389,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
44,4/17/2020,NC,152,0,21,429,0,5859,0,394,86965,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
45,4/18/2020,NC,164,0,12,388,0,6140,0,281,89437,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
46,4/19/2020,NC,172,0,8,465,0,6493,0,353,93037,1,72.22,72.22,74.52,74.52,51.56,51.56,53.57,53.57,37.5,37.5
47,4/20/2020,NC,179,0,7,373,0,6764,0,271,95629,1,72.22,72.22,74.52,74.52,55.47,55.47,58.04,58.04,37.5,37.5
48,4/21/2020,NC,213,0,34,427,0,6951,0,187,96402,1,72.22,72.22,74.52,74.52,55.47,55.47,58.04,58.04,37.5,37.5
49,4/22/2020,NC,242,0,29,434,0,7220,0,269,100922,1,72.22,72.22,74.52,74.52,55.47,55.47,58.04,58.04,37.5,37.5
50,4/23/2020,NC,253,0,11,486,0,7608,0,388,108718,1,72.22,72.22,74.52,74.52,58.59,58.59,61.61,61.61,37.5,37.5
51,4/24/2020,NC,269,0,16,477,0,8052,0,444,115124,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
52,4/25/2020,NC,289,0,20,456,0,8623,0,571,119912,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
53,4/26/2020,NC,299,0,10,451,0,8830,0,207,125210,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
54,4/27/2020,NC,306,0,7,473,0,9142,0,312,128195,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
55,4/28/2020,NC,342,0,36,463,0,9568,0,426,130329,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
56,4/29/2020,NC,354,0,12,551,0,9948,9948,380,134080,1,69.44,69.44,70.95,70.95,57.03,57.03,59.82,59.82,37.5,37.5
57,4/30/2020,NC,378,0,24,546,0,10509,10509,561,139398,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
58,5/1/2020,NC,399,0,21,547,0,10923,10923,414,145996,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
59,5/2/2020,NC,420,0,21,502,0,11509,11509,586,151486,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
60,5/3/2020,NC,422,422,2,475,0,11664,11664,155,157447,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
61,5/4/2020,NC,430,430,8,498,0,11848,11848,184,162649,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
62,5/5/2020,NC,452,452,22,534,0,12256,12256,408,165350,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
63,5/6/2020,NC,477,477,25,516,0,12758,12758,502,171322,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
64,5/7/2020,NC,507,507,30,525,0,13397,13397,639,180652,1,67.59,67.59,70.95,70.95,55.99,55.99,58.63,58.63,37.5,37.5
65,5/8/2020,NC,527,527,20,515,0,13868,13868,471,187523,1,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
66,5/9/2020,NC,544,544,17,513,0,14360,14360,492,195440,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
67,5/10/2020,NC,547,547,3,442,0,14764,14764,404,202897,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
68,5/11/2020,NC,550,550,3,464,0,15045,15045,281,208215,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
69,5/12/2020,NC,577,577,27,475,0,15346,15346,301,210956,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
70,5/13/2020,NC,597,597,20,521,0,15816,15816,470,217642,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
71,5/14/2020,NC,615,615,18,507,0,16507,16507,691,225561,2,66.67,66.67,72.62,72.62,55.47,55.47,58.04,58.04,37.5,37.5
72,5/15/2020,NC,641,641,26,492,0,17129,17129,622,234878,2,63.89,63.89,72.62,72.62,55.99,55.99,58.63,58.63,37.5,37.5
